"","EVENT","Event","GeneID","geneSymbol","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"ZSCAN25_chr7:+:99619560:99619997:99619560:99619993:99621372:99621574:8655","ZSCAN25_chr7:+:99619560:99619997:99619560:99619993:99621372:99621574:8655","A5SS","ENSG00000197037.11","ZSCAN25",0.078,0.103,0.153,0.171,0.142,0.129,0.119,0.121,0.17,0.07,0.202,0.268,0.158,0.154,2.054925373,"SEED6"
"METRN_chr16:+:715583:715984:716932:716992:715117:715393:717070:719655:5125","METRN_chr16:+:715583:715984:716932:716992:715117:715393:717070:719655:5125","MXE","ENSG00000103260.9","METRN",0.164,0.2,0.154,0.22,0.229,0.172,0.157,0.141,0.11,0.228,0.261,0.286,0.233,0.289,2.059307958,"SEED6"
"DTNA_chr18:+:34679467:34679592:34755975:34756043:34557978:34558135:34765960:34766041:23725","DTNA_chr18:+:34679467:34679592:34755975:34756043:34557978:34558135:34765960:34766041:23725","MXE","ENSG00000134769.23","DTNA",0.501,0.426,0.312,0.529,0.489,0.52,0.266,0.403,0.424,0.494,0.577,0.59,0.503,0.301,2.060677966,"SEED6"
"SLC47A1_chr17:+:19555211:19555309:19555739:19555909:19551423:19551468:19555994:19556062:3829","SLC47A1_chr17:+:19555211:19555309:19555739:19555909:19551423:19551468:19555994:19556062:3829","MXE","ENSG00000142494.13","SLC47A1",0.42,0.401,0.447,0.551,0.515,0.598,0.439,0.343,0.598,0.521,0.619,0.516,0.455,0.451,2.072859452,"SEED6"
"CENPE_chr4:-:103163136:103163256:103163478:103163553:103161334:103161457:103174735:103174903:8882","CENPE_chr4:-:103163136:103163256:103163478:103163553:103161334:103161457:103174735:103174903:8882","MXE","ENSG00000138778.14","CENPE",0.191,0.233,0.189,0.292,0.277,0.231,0.205,0.141,0.225,0.204,0.221,0.204,0.248,0.202,2.077671233,"SEED6"
"NUDT16L1_chr16:+:4693977:4694308:4693977:4694238:4694957:4695859:4160","NUDT16L1_chr16:+:4693977:4694308:4693977:4694238:4694957:4695859:4160","A5SS","ENSG00000168101.14","NUDT16L1",0.011,0.07,0.051,0.086,0.06,0.083,0.086,0.048,0.053,0.05,0.037,0.158,0.089,0.035,2.077974684,"SEED6"
"GPD2_chr2:+:156476097:156476207:156496043:156496215:156435440:156435804:156510795:156510920:23628","GPD2_chr2:+:156476097:156476207:156496043:156496215:156435440:156435804:156510795:156510920:23628","MXE","ENSG00000115159.16","GPD2",0.185,0.206,0.298,0.291,0.317,0.343,0.247,0.202,0.286,0.356,0.271,0.358,0.279,0.182,2.0824581,"SEED6"
"DTNA_chr18:+:34679467:34679592:34765960:34766041:34557978:34558135:34794036:34794250:23726","DTNA_chr18:+:34679467:34679592:34765960:34766041:34557978:34558135:34794036:34794250:23726","MXE","ENSG00000134769.23","DTNA",0.408,0.437,0.25,0.348,0.455,0.391,0.288,0.206,0.292,0.364,0.387,0.586,0.408,0.26,2.08313993,"SEED6"
"PTBP3_chr9:-:112262434:112262599:112268048:112268195:112252677:112252788:112297831:112297916:9108","PTBP3_chr9:-:112262434:112262599:112268048:112268195:112252677:112252788:112297831:112297916:9108","MXE","ENSG00000119314.16","PTBP3",0.223,0.146,0.226,0.239,0.241,0.171,0.202,0.197,0.182,0.207,0.232,0.248,0.244,0.194,2.085161289,"SEED6"
"PTPN3_chr9:-:109457291:109457399:109463296:109463451:109457172:109457215:109498218:109498307:20997","PTPN3_chr9:-:109457291:109457399:109463296:109463451:109457172:109457215:109498218:109498307:20997","MXE","ENSG00000070159.14","PTPN3",0.204,0.312,0.272,0.382,0.377,0.218,0.245,0.296,0.191,0.27,0.4,0.586,0.434,0.403,2.085255973,"SEED6"
"ARHGAP35_chr19:+:46918487:46922356:46937263:46937408:46860996:46861209:46987988:46988066:1803","ARHGAP35_chr19:+:46918487:46922356:46937263:46937408:46860996:46861209:46987988:46988066:1803","MXE","ENSG00000160007.19","ARHGAP35",0.215,0.301,0.262,0.327,0.296,0.341,0.187,0.288,0.251,0.289,0.305,0.327,0.374,0.322,2.087700535,"SEED6"
"FANCI_chr15:+:89245755:89245839:89244016:89244067:89247628:89247731:32790","FANCI_chr15:+:89245755:89245839:89244016:89244067:89247628:89247731:32790","SE","ENSG00000140525.20","FANCI",0.11,0.153,0.191,0.228,0.169,0.176,0.155,0.13,0.124,0.104,0.203,0.19,0.165,0.121,2.089649124,"SEED6"
"TMCC1_chr3:-:129857249:129857405:129848342:129848412:129880308:129880559:82308","TMCC1_chr3:-:129857249:129857405:129848342:129848412:129880308:129880559:82308","SE","ENSG00000172765.18","TMCC1",0.377,0.404,0.532,0.506,0.611,0.571,0.345,0.419,0.442,0.41,0.644,0.463,0.491,0.315,2.090062112,"SEED6"
"ISOC2_chr19:-:55455259:55455378:55455259:55455330:55455635:55455845:855","ISOC2_chr19:-:55455259:55455378:55455259:55455330:55455635:55455845:855","A3SS","ENSG00000063241.8","ISOC2",0.116,0.14,0.187,0.243,0.217,0.245,0.207,0.222,0.177,0.166,0.213,0.179,0.198,0.182,2.091020407,"SEED6"
"RAD51D_chr17:-:35107365:35107447:35118500:35118619:35106987:35107122:35119110:35119172:9633","RAD51D_chr17:-:35107365:35107447:35118500:35118619:35106987:35107122:35119110:35119172:9633","MXE","ENSG00000185379.21","RAD51D",0.254,0.114,0.149,0.274,0.238,0.144,0.223,0.09,0.077,0.257,0.228,0.399,0.224,0.163,2.09177945,"SEED6"
"ILF3_chr19:+:10666491:10666649:10655023:10655123:10670515:10670608:11713","ILF3_chr19:+:10666491:10666649:10655023:10655123:10670515:10670608:11713","SE","ENSG00000129351.17","ILF3",0.204,0.306,0.308,0.358,0.424,0.3,0.277,0.179,0.239,0.27,0.322,0.315,0.214,0.289,2.094245282,"SEED6"
"ZNF561_chr19:-:9617044:9617171:9617620:9617758:9614020:9614103:9618090:9618179:28978","ZNF561_chr19:-:9617044:9617171:9617620:9617758:9614020:9614103:9618090:9618179:28978","MXE","ENSG00000171469.11","ZNF561",0.052,0.104,0.113,0.103,0.164,0.112,0.087,0.133,0.111,0.101,0.121,0.126,0.113,0.087,2.104634147,"SEED6"
"DIABLO_chr12:-:122224511:122224644:122224644:122224748:122218265:122218397:122225964:122226052:35621","DIABLO_chr12:-:122224511:122224644:122224644:122224748:122218265:122218397:122225964:122226052:35621","MXE","ENSG00000184047.20","DIABLO",0.088,0.138,0.127,0.16,0.206,0.178,0.185,0.14,0.13,0.148,0.157,0.167,0.141,0.16,2.105048543,"SEED6"
"SNX14_chr6:-:85538837:85538864:85536791:85536924:85541984:85542043:116261","SNX14_chr6:-:85538837:85538864:85536791:85536924:85541984:85542043:116261","SE","ENSG00000135317.14","SNX14",0.187,0.207,0.272,0.28,0.312,0.282,0.239,0.225,0.239,0.26,0.219,0.29,0.25,0.212,2.106410256,"SEED6"
"LUC7L_chr16:-:228332:228402:227241:227336:229278:229374:25873","LUC7L_chr16:-:228332:228402:227241:227336:229278:229374:25873","SE","ENSG00000007392.17","LUC7L",0.268,0.306,0.342,0.361,0.537,0.464,0.488,0.327,0.333,0.401,0.394,0.408,0.331,0.336,2.107486032,"SEED6"
"PPP2R2D_chr10:+:131901237:131901330:131934457:131934555:131901007:131901155:131940030:131940196:32332","PPP2R2D_chr10:+:131901237:131901330:131934457:131934555:131901007:131901155:131940030:131940196:32332","MXE","ENSG00000175470.20","PPP2R2D",0.214,0.193,0.236,0.292,0.287,0.217,0.153,0.238,0.207,0.21,0.265,0.294,0.326,0.274,2.107975461,"SEED6"
"ZNF561_chr19:-:9617044:9617226:9617620:9617758:9614020:9614103:9618090:9618179:28980","ZNF561_chr19:-:9617044:9617226:9617620:9617758:9614020:9614103:9618090:9618179:28980","MXE","ENSG00000171469.11","ZNF561",0.076,0.156,0.153,0.145,0.223,0.154,0.119,0.176,0.142,0.146,0.165,0.176,0.163,0.136,2.108161436,"SEED6"
"CBLL1_chr7:+:107752544:107752617:107748879:107749047:107753410:107753511:129833","CBLL1_chr7:+:107752544:107752617:107748879:107749047:107753410:107753511:129833","SE","ENSG00000105879.12","CBLL1",0.107,0.09,0.079,0.18,0.162,0.148,0.12,0.093,0.109,0.081,0.093,0.141,0.12,0.108,2.110000001,"SEED6"
"ARHGAP44_chr17:+:12894939:12894979:12908896:12908973:12789497:12789891:12915899:12916011:3889","ARHGAP44_chr17:+:12894939:12894979:12908896:12908973:12789497:12789891:12915899:12916011:3889","MXE","ENSG00000006740.18","ARHGAP44",0.209,0.278,0.176,0.247,0.323,0.252,0.257,0.223,0.125,0.21,0.213,0.287,0.244,0.162,2.11021672,"SEED6"
"SLC43A3_chr11:-:57426587:57426750:57426587:57426652:57427061:57427121:15222","SLC43A3_chr11:-:57426587:57426750:57426587:57426652:57427061:57427121:15222","A3SS","ENSG00000134802.18","SLC43A3",0.047,0.078,0.086,0.091,0.092,0.06,0.056,0.041,0.054,0.065,0.041,0.143,0.108,0.055,2.115524474,"SEED6"
"SEPTIN7_chr7:+:35831424:35831496:35801218:35801270:35832797:35832900:66349","SEPTIN7_chr7:+:35831424:35831496:35801218:35801270:35832797:35832900:66349","SE","ENSG00000122545.21","SEPTIN7",0.153,0.239,0.309,0.524,0.383,0.444,0.224,0.341,0.36,0.321,0.433,0.357,0.378,0.351,2.118702289,"SEED6"
"CEP41_chr7:-:130426645:130426759:130421852:130422007:130427954:130428018:130879","CEP41_chr7:-:130426645:130426759:130421852:130422007:130427954:130428018:130879","SE","ENSG00000106477.20","CEP41",0.061,0.056,0.062,0.111,0.089,0.102,0.03,0.034,0.086,0.048,0.079,0.143,0.03,0.052,2.118881118,"SEED6"
"PIK3CB_chr3:-:138698906:138699095:138704442:138704493:138694785:138694907:138707158:138707289:28615","PIK3CB_chr3:-:138698906:138699095:138704442:138704493:138694785:138694907:138707158:138707289:28615","MXE","ENSG00000051382.9","PIK3CB",0.233,0.32,0.373,0.444,0.469,0.348,0.426,0.352,0.32,0.341,0.424,0.42,0.37,0.407,2.119104477,"SEED6"
"SMARCA4_chr19:+:10984123:10984373:10985272:10985405:10960931:10961174:10986188:10986593:2297","SMARCA4_chr19:+:10984123:10984373:10985272:10985405:10960931:10961174:10986188:10986593:2297","MXE","ENSG00000127616.20","SMARCA4",0.064,0.089,0.09,0.096,0.078,0.092,0.088,0.042,0.076,0.12,0.103,0.168,0.121,0.086,2.122142858,"SEED6"
"PHF21A_chr11:-:45945839:45946003:45946075:45946098:45938156:45938312:45948885:45948946:20605","PHF21A_chr11:-:45945839:45946003:45946075:45946098:45938156:45938312:45948885:45948946:20605","MXE","ENSG00000135365.17","PHF21A",0,0.068,0.052,0.076,0.129,0.097,0.101,0.015,0.064,0.032,0.064,0.155,0.072,0.022,2.123870967,"SEED6"
"TCF20_chr22:-:42168608:42168703:42161097:42161358:42169846:42169896:3036","TCF20_chr22:-:42168608:42168703:42161097:42161358:42169846:42169896:3036","SE","ENSG00000100207.21","TCF20",0.171,0.224,0.143,0.24,0.257,0.21,0.194,0.178,0.16,0.24,0.207,0.274,0.236,0.145,2.130656935,"SEED6"
"SSH1_chr12:-:108818248:108818313:108852637:108852678:108817037:108817159:108857427:108857513:20707","SSH1_chr12:-:108818248:108818313:108852637:108852678:108817037:108817159:108857427:108857513:20707","MXE","ENSG00000084112.15","SSH1",0.218,0.217,0.217,0.3,0.293,0.252,0.246,0.227,0.29,0.17,0.314,0.251,0.328,0.188,2.133780488,"SEED6"
"PIF1_chr15:-:64817945:64818091:64819846:64819986:64816573:64816765:64820981:64821088:5500","PIF1_chr15:-:64817945:64818091:64819846:64819986:64816573:64816765:64820981:64821088:5500","MXE","ENSG00000140451.13","PIF1",0.225,0.363,0.35,0.397,0.426,0.517,0.417,0.417,0.367,0.349,0.527,0.372,0.486,0.377,2.135445919,"SEED6"
"COL25A1_chr4:-:108852901:108852925:108852235:108852280:108859655:108859733:42865","COL25A1_chr4:-:108852901:108852925:108852235:108852280:108859655:108859733:42865","SE","ENSG00000188517.17","COL25A1",0.169,0.176,0.29,0.232,0.417,0.316,0.319,0.244,0.286,0.359,0.339,0.325,0.327,0.297,2.137122302,"SEED6"
"ABCD4_chr14:-:74288206:74288259:74289482:74289519:74287809:74287886:74290026:74290118:36880","ABCD4_chr14:-:74288206:74288259:74289482:74289519:74287809:74287886:74290026:74290118:36880","MXE","ENSG00000119688.21","ABCD4",0.194,0.311,0.28,0.351,0.305,0.253,0.244,0.269,0.221,0.265,0.297,0.461,0.378,0.299,2.138698482,"SEED6"
"ACAD8_chr11:+:134259607:134261179:134259607:134259745:134261043:134261179:8918","ACAD8_chr11:+:134259607:134261179:134259607:134259745:134261043:134261179:8918","RI","ENSG00000151498.12","ACAD8",0.105,0.146,0.138,0.191,0.175,0.217,0.188,0.18,0.165,0.132,0.167,0.228,0.223,0.214,2.141578947,"SEED6"
"IL6_chr7:+:22727199:22727634:22727199:22727281:22727443:22727634:5425","IL6_chr7:+:22727199:22727634:22727199:22727281:22727443:22727634:5425","RI","ENSG00000136244.12","IL6",0.137,0.165,0.201,0.266,0.276,0.246,0.204,0.195,0.2,0.125,0.316,0.297,0.169,0.299,2.142531645,"SEED6"
"GAA_chr17:+:80101810:80101925:80101810:80101890:80104554:80105132:1126","GAA_chr17:+:80101810:80101925:80101810:80101890:80104554:80105132:1126","A5SS","ENSG00000171298.13","GAA",0.058,0.053,0.053,0.066,0.085,0.108,0.076,0.08,0.067,0.068,0.156,0.142,0.104,0.093,2.145897435,"SEED6"
"ATG16L1_chr2:+:233272965:233273777:233272965:233273052:233274675:233274778:5342","ATG16L1_chr2:+:233272965:233273777:233272965:233273052:233274675:233274778:5342","A5SS","ENSG00000085978.22","ATG16L1",0.176,0.241,0.243,0.258,0.297,0.319,0.269,0.289,0.27,0.264,0.319,0.458,0.167,0.223,2.146113539,"SEED6"
"HDAC6_chrX:+:48818219:48818412:48820105:48820255:48818040:48818109:48822619:48822794:339","HDAC6_chrX:+:48818219:48818412:48820105:48820255:48818040:48818109:48822619:48822794:339","MXE","ENSG00000094631.21","HDAC6",0.164,0.333,0.362,0.135,0.483,0.384,0.321,0.304,0.229,0.302,0.426,0.488,0.32,0.259,2.150655738,"SEED6"
"FBH1_chr10:+:5891018:5891116:5890279:5890346:5903019:5903175:147909","FBH1_chr10:+:5891018:5891116:5890279:5890346:5903019:5903175:147909","SE","ENSG00000134452.20","FBH1",0.052,0.044,0.069,0.139,0.157,0.128,0.065,0.107,0.079,0.094,0.041,0.091,0.088,0.101,2.157961784,"SEED6"
"MTRES1_chr6:+:107030024:107030107:107028198:107028271:107039748:107040230:119298","MTRES1_chr6:+:107030024:107030107:107028198:107028271:107039748:107040230:119298","SE","ENSG00000130349.10","MTRES1",0.233,0.397,0.348,0.374,0.549,0.473,0.405,0.487,0.352,0.445,0.395,0.71,0.256,0.358,2.16112676,"SEED6"
"DPCD_chr10:+:101605139:101605212:101601202:101601336:101608834:101608937:152512","DPCD_chr10:+:101605139:101605212:101601202:101601336:101608834:101608937:152512","SE","ENSG00000166171.13","DPCD",0.048,0.076,0.099,0.116,0.092,0.13,0.112,0.101,0.073,0.073,0.158,0.141,0.092,0.102,2.161518987,"SEED6"
"GUCD1_chr22:-:24554948:24555136:24548916:24549001:24555614:24555859:4062","GUCD1_chr22:-:24554948:24555136:24548916:24549001:24555614:24555859:4062","SE","ENSG00000138867.17","GUCD1",0.147,0.096,0.284,0.176,0.344,0.31,0.182,0.119,0.114,0.32,0.211,0.262,0.23,0.2,2.163139534,"SEED6"
"TNRC6A_chr16:+:24758338:24758360:24776932:24777358:24750725:24750813:24789231:24791817:5560","TNRC6A_chr16:+:24758338:24758360:24776932:24777358:24750725:24750813:24789231:24791817:5560","MXE","ENSG00000090905.19","TNRC6A",0.155,0.152,0.192,0.199,0.166,0.205,0.22,0.141,0.111,0.2,0.222,0.319,0.172,0.106,2.165266456,"SEED6"
"WDR37_chr10:+:1093451:1093496:1103601:1103836:1086285:1086357:1105125:1105267:31183","WDR37_chr10:+:1093451:1093496:1103601:1103836:1086285:1086357:1105125:1105267:31183","MXE","ENSG00000047056.17","WDR37",0.127,0.173,0.209,0.273,0.263,0.25,0.149,0.197,0.249,0.26,0.164,0.346,0.173,0.184,2.167052024,"SEED6"
"FGFR4_chr5:+:177089549:177089693:177090389:177090653:177086904:177087018:177090744:177090825:9031","FGFR4_chr5:+:177089549:177089693:177090389:177090653:177086904:177087018:177090744:177090825:9031","MXE","ENSG00000160867.15","FGFR4",0.141,0.207,0.185,0.159,0.276,0.193,0.209,0.16,0.102,0.22,0.352,0.333,0.216,0.216,2.168068184,"SEED6"
"TRAM2_chr6:-:52516627:52516737:52535782:52535846:52516005:52516122:52576795:52577060:15201","TRAM2_chr6:-:52516627:52516737:52535782:52535846:52516005:52516122:52576795:52577060:15201","MXE","ENSG00000065308.5","TRAM2",0.236,0.3,0.35,0.338,0.314,0.385,0.299,0.339,0.279,0.329,0.393,0.348,0.371,0.349,2.171043259,"SEED6"
"COL27A1_chr9:+:114288913:114288967:114290809:114290917:114288701:114288755:114292102:114292210:14650","COL27A1_chr9:+:114288913:114288967:114290809:114290917:114288701:114288755:114292102:114292210:14650","MXE","ENSG00000196739.15","COL27A1",0.295,0.28,0.337,0.44,0.369,0.321,0.364,0.339,0.339,0.406,0.434,0.468,0.309,0.363,2.172991452,"SEED6"
"ZDHHC11_chr5:-:821860:821895:823388:824093:819524:819612:825163:825251:20848","ZDHHC11_chr5:-:821860:821895:823388:824093:819524:819612:825163:825251:20848","MXE","ENSG00000188818.13","ZDHHC11",0.118,0.099,0.148,0.176,0.166,0.17,0.171,0.139,0.166,0.175,0.206,0.141,0.158,0.136,2.173009709,"SEED6"
"MCU_chr10:+:72834358:72834428:72859176:72859347:72692142:72692301:72860422:72860527:16178","MCU_chr10:+:72834358:72834428:72859176:72859347:72692142:72692301:72860422:72860527:16178","MXE","ENSG00000156026.15","MCU",0.124,0.154,0.18,0.209,0.274,0.228,0.194,0.12,0.163,0.165,0.205,0.187,0.199,0.275,2.176363635,"SEED6"
"NLRC5_chr16:+:57055435:57055519:57058064:57058148:57055031:57055094:57058971:57059061:4600","NLRC5_chr16:+:57055435:57055519:57058064:57058148:57055031:57055094:57058971:57059061:4600","MXE","ENSG00000140853.17","NLRC5",0.295,0.292,0.348,0.4,0.381,0.413,0.286,0.312,0.246,0.376,0.506,0.303,0.385,0.405,2.177154152,"SEED6"
"LARGE2_chr11:+:45923472:45923555:45924153:45924277:45922777:45923167:45924505:45924677:33075","LARGE2_chr11:+:45923472:45923555:45924153:45924277:45922777:45923167:45924505:45924677:33075","MXE","ENSG00000165905.18","LARGE2",0.075,0.226,0.129,0.224,0.059,0.188,0.142,0.083,0.057,0.12,0.229,0.286,0.214,0.153,2.177202798,"SEED6"
"HDAC10_chr22:-:50250426:50250523:50250062:50250160:50250770:50250905:19554","HDAC10_chr22:-:50250426:50250523:50250062:50250160:50250770:50250905:19554","SE","ENSG00000100429.18","HDAC10",0.572,0.481,0.565,0.623,0.826,0.598,0.493,0.652,0.682,0.583,0.862,0.592,0.749,0.362,2.178654291,"SEED6"
"LIMCH1_chr4:+:41524408:41524478:41650392:41650608:41494535:41494606:41661419:41661510:35993","LIMCH1_chr4:+:41524408:41524478:41650392:41650608:41494535:41494606:41661419:41661510:35993","MXE","ENSG00000064042.18","LIMCH1",0.152,0.182,0.215,0.283,0.246,0.235,0.223,0.241,0.228,0.257,0.251,0.261,0.263,0.272,2.18204947,"SEED6"
"CDC42BPA_chr1:-:227199556:227199652:227213135:227213219:227193650:227193934:227254063:227254155:19422","CDC42BPA_chr1:-:227199556:227199652:227213135:227213219:227193650:227193934:227254063:227254155:19422","MXE","ENSG00000143776.20","CDC42BPA",0.409,0.304,0.389,0.455,0.49,0.377,0.415,0.4,0.447,0.455,0.394,0.535,0.485,0.386,2.182429907,"SEED6"
"WDR37_chr10:+:1093451:1093496:1103598:1103836:1086285:1086357:1105125:1105267:31182","WDR37_chr10:+:1093451:1093496:1103598:1103836:1086285:1086357:1105125:1105267:31182","MXE","ENSG00000047056.17","WDR37",0.121,0.175,0.207,0.268,0.253,0.25,0.147,0.194,0.242,0.265,0.164,0.337,0.173,0.18,2.182789317,"SEED6"
"CMC2_chr16:-:80991753:80991957:80975935:80976179:80997313:80997429:139855","CMC2_chr16:-:80991753:80991957:80975935:80976179:80997313:80997429:139855","SE","ENSG00000103121.9","CMC2",0.023,0.045,0.08,0.13,0.12,0.101,0.046,0.065,0.049,0.069,0.047,0.125,0.052,0.066,2.184615384,"SEED6"
"FANCL_chr2:-:58159242:58160179:58159242:58159800:58160107:58160179:8337","FANCL_chr2:-:58159242:58160179:58159242:58159800:58160107:58160179:8337","RI","ENSG00000115392.13","FANCL",0.233,0.32,0.348,0.378,0.42,0.367,0.327,0.245,0.277,0.272,0.323,0.395,0.286,0.301,2.184761905,"SEED6"
"FAM168B_chr2:-:131071854:131071938:131082576:131082657:131055552:131055695:131093213:131093460:23412","FAM168B_chr2:-:131071854:131071938:131082576:131082657:131055552:131055695:131093213:131093460:23412","MXE","ENSG00000152102.18","FAM168B",0.139,0.195,0.166,0.179,0.242,0.233,0.156,0.145,0.226,0.21,0.194,0.247,0.228,0.184,2.18639676,"SEED6"
"GBA2_chr9:-:35743275:35743326:35741319:35741890:35744296:35744391:148223","GBA2_chr9:-:35743275:35743326:35741319:35741890:35744296:35744391:148223","SE","ENSG00000070610.14","GBA2",0.164,0.277,0.213,0.383,0.275,0.289,0.282,0.216,0.213,0.237,0.327,0.248,0.219,0.198,2.186631855,"SEED6"
"MAP3K12_chr12:-:53486055:53486247:53486946:53487428:53485316:53485475:53499426:53499458:34988","MAP3K12_chr12:-:53486055:53486247:53486946:53487428:53485316:53485475:53499426:53499458:34988","MXE","ENSG00000139625.13","MAP3K12",0.205,0.306,0.345,0.405,0.389,0.246,0.327,0.264,0.294,0.286,0.393,0.238,0.384,0.295,2.186913579,"SEED6"
"SLC12A2-DT_chr5:-:127966162:127966928:127956803:127956921:128061143:128061244:124496","SLC12A2-DT_chr5:-:127966162:127966928:127956803:127956921:128061143:128061244:124496","SE","ENSG00000245937.9","SLC12A2-DT",0.271,0.393,0.493,0.468,0.564,0.351,0.492,0.404,0.439,0.381,0.468,0.567,0.513,0.319,2.187089948,"SEED6"
"WDFY2_chr13:+:51703595:51703650:51739048:51739175:51675169:51675243:51751309:51751415:36072","WDFY2_chr13:+:51703595:51703650:51739048:51739175:51675169:51675243:51751309:51751415:36072","MXE","ENSG00000139668.9","WDFY2",0.198,0.218,0.242,0.272,0.374,0.243,0.391,0.236,0.158,0.237,0.325,0.325,0.234,0.22,2.192531969,"SEED6"
"TRIM24_chr7:+:138504289:138504408:138515211:138515359:138460258:138460912:138519188:138519321:17176","TRIM24_chr7:+:138504289:138504408:138515211:138515359:138460258:138460912:138519188:138519321:17176","MXE","ENSG00000122779.18","TRIM24",0.3,0.341,0.395,0.413,0.45,0.427,0.315,0.367,0.369,0.415,0.42,0.441,0.374,0.381,2.195555557,"SEED6"
"TMEM45A_chr3:+:100555208:100555401:100556759:100556972:100519461:100519608:100558404:100558589:11657","TMEM45A_chr3:+:100555208:100555401:100556759:100556972:100519461:100519608:100558404:100558589:11657","MXE","ENSG00000181458.10","TMEM45A",0.125,0.204,0.182,0.237,0.208,0.207,0.195,0.135,0.157,0.18,0.188,0.203,0.167,0.189,2.199071729,"SEED6"
"SLC41A3_chr3:-:126033606:126033678:126050942:126051050:126026334:126026479:126067946:126068246:10682","SLC41A3_chr3:-:126033606:126033678:126050942:126051050:126026334:126026479:126067946:126068246:10682","MXE","ENSG00000114544.17","SLC41A3",0.134,0.207,0.211,0.24,0.23,0.234,0.182,0.232,0.23,0.215,0.205,0.326,0.257,0.249,2.201840491,"SEED6"
"SMARCE1_chr17:-:40642454:40642559:40645795:40645847:40637491:40637572:40647772:40647839:22386","SMARCE1_chr17:-:40642454:40642559:40645795:40645847:40637491:40637572:40647772:40647839:22386","MXE","ENSG00000073584.20","SMARCE1",0.083,0.097,0.122,0.211,0.155,0.109,0.121,0.13,0.135,0.152,0.208,0.146,0.199,0.219,2.206392694,"SEED6"
"TMEM68_chr8:-:55773226:55773378:55773268:55773378:55763935:55763980:9104","TMEM68_chr8:-:55773226:55773378:55773268:55773378:55763935:55763980:9104","A5SS","ENSG00000167904.16","TMEM68",0.075,0.093,0.118,0.19,0.19,0.197,0.165,0.122,0.133,0.153,0.132,0.165,0.11,0.149,2.206497461,"SEED6"
"KAT8_chr16:+:31130745:31131359:31130745:31130900:31131194:31131359:1515","KAT8_chr16:+:31130745:31131359:31130745:31130900:31131194:31131359:1515","RI","ENSG00000103510.20","KAT8",0.113,0.103,0.151,0.229,0.219,0.155,0.136,0.255,0.138,0.205,0.2,0.136,0.189,0.14,2.207843136,"SEED6"
"UBE3C_chr7:+:157163809:157163863:157186833:157187021:157138925:157139338:157201720:157201807:27864","UBE3C_chr7:+:157163809:157163863:157186833:157187021:157138925:157139338:157201720:157201807:27864","MXE","ENSG00000009335.18","UBE3C",0.208,0.206,0.256,0.306,0.24,0.226,0.256,0.189,0.226,0.255,0.258,0.293,0.279,0.262,2.20993464,"SEED6"
"ACAA1_chr3:-:38125825:38126700:38125825:38125881:38126509:38126700:3815","ACAA1_chr3:-:38125825:38126700:38125825:38125881:38126509:38126700:3815","RI","ENSG00000060971.19","ACAA1",0.4,0.378,0.421,0.494,0.561,0.456,0.457,0.402,0.437,0.304,0.545,0.511,0.505,0.528,2.210766489,"SEED6"
"CTNND1_chr11:+:57815914:57816001:57815393:57815500:57816299:57818445:171931","CTNND1_chr11:+:57815914:57816001:57815393:57815500:57816299:57818445:171931","SE","ENSG00000198561.16","CTNND1",0.24,0.418,0.4,0.563,0.369,0.468,0.311,0.318,0.425,0.292,0.457,0.493,0.398,0.375,2.212966251,"SEED6"
"ADGRL1_chr19:-:14164620:14164705:14162947:14163406:14170681:14170734:167330","ADGRL1_chr19:-:14164620:14164705:14162947:14163406:14170681:14170734:167330","SE","ENSG00000072071.17","ADGRL1",0.089,0.127,0.205,0.183,0.24,0.172,0.166,0.119,0.167,0.177,0.18,0.152,0.322,0.119,2.213291924,"SEED6"
"TGFA_chr2:-:70456338:70456488:70465615:70465736:70453217:70453327:70514858:70514912:18691","TGFA_chr2:-:70456338:70456488:70465615:70465736:70453217:70453327:70514858:70514912:18691","MXE","ENSG00000163235.16","TGFA",0.38,0.261,0.341,0.333,0.399,0.457,0.366,0.35,0.412,0.367,0.479,0.343,0.423,0.321,2.217035492,"SEED6"
"SPG7_chr16:+:89540943:89541384:89532462:89532636:89544647:89544772:43306","SPG7_chr16:+:89540943:89541384:89532462:89532636:89544647:89544772:43306","SE","ENSG00000197912.16","SPG7",0.16,0.209,0.182,0.212,0.278,0.213,0.151,0.128,0.152,0.297,0.255,0.279,0.194,0.228,2.217441079,"SEED6"
"KMT2A_chr11:+:118491195:118491318:118491195:118491309:118491743:118491928:8516","KMT2A_chr11:+:118491195:118491318:118491195:118491309:118491743:118491928:8516","A5SS","ENSG00000118058.24","KMT2A",0.211,0.199,0.206,0.24,0.124,0.252,0.225,0.188,0.145,0.197,0.237,0.314,0.226,0.189,2.223312103,"SEED6"
"LIMCH1_chr4:+:41524408:41524478:41605893:41606004:41494535:41494606:41613465:41613534:35992","LIMCH1_chr4:+:41524408:41524478:41605893:41606004:41494535:41494606:41613465:41613534:35992","MXE","ENSG00000064042.18","LIMCH1",0.258,0.293,0.326,0.437,0.376,0.341,0.36,0.385,0.383,0.379,0.396,0.411,0.389,0.385,2.226819223,"SEED6"
